timestamp,No_,Name,Search Name,Account Type,Global Dimension 1 Code,Global Dimension 2 Code,Account Category,Income_Balance,Debit_Credit,No_ 2,Blocked,Direct Posting,Reconciliation Account,New Page,No_ of Blank Lines,Indentation,Last Modified Date Time,Last Date Modified,Totaling,Consol_ Translation Method,Consol_ Debit Acc_,Consol_ Credit Acc_,Gen_ Posting Type,Gen_ Bus_ Posting Group,Gen_ Prod_ Posting Group,Picture,Automatic Ext_ Texts,Tax Area Code,Tax Liable,Tax Group Code,VAT Bus_ Posting Group,VAT Prod_ Posting Group,Exchange Rate Adjustment,Default IC Partner G_L Acc_ No,Omit Default Descr_ in Jnl_,Account Subcategory Entry No_,Cost Type No_,Default Deferral Template Code,Id
0x000000000004C8B2,0000,Kontenplan SKR03,KONTENPLAN SKR03,1,,,1,1,0,,0,0,0,0,0,0,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0000,0000,0,,,NULL,0,,0,,,,0,,0,1,,,ED35D275-BF73-417D-A20F-D0801406FBE1
0x000000000004C8B4,0001,Aufw. für Ing./Erw. d. Gesch.,AUFW. FÜR ING./ERW. D. GESCH.,0,,,1,1,0,,0,1,0,0,0,0,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0001,0001,0,,,NULL,0,,0,,,,0,,0,1,,,19BDD53C-A933-4263-9F66-80B844E2C194
0x000000000004C8B6,0002,Aufw. a. Umst. a.d. Euro,AUFW. A. UMST. A.D. EURO,0,,,1,1,0,,0,1,0,0,0,0,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0002,0002,0,,,NULL,0,,0,,,,0,,0,1,,,75F43FBF-1306-44D6-8188-3DFD62F47160
0x000000000004C8B8,0009,Immaterielle Vermögensgegenst.,IMMATERIELLE VERMÖGENSGEGENST.,3,,,1,1,0,,0,0,0,0,0,0,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0009,0009,0,,,NULL,0,,0,,,,0,,0,1,,,45C01870-5B89-464B-B617-63A96BB4C7DC
0x000000000004C8BA,0010,Konzessionen u. Schutzrechte,KONZESSIONEN U. SCHUTZRECHTE,3,,,1,1,0,,0,0,0,0,0,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0010,0010,0,,,NULL,0,,0,,,,0,,0,1,,,E6B1E253-3687-4E3C-AD46-CB379E878A40
0x000000000004C8BC,0015,Konzessionen,KONZESSIONEN,0,,,1,1,0,,0,1,0,0,0,2,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0015,0015,0,,,NULL,0,,0,,,,0,,0,1,,,CB69F4F5-194D-40D1-B383-D0CE0B591B6F
0x000000000004C8BE,0020,Gewerbliche Schutzrechte,GEWERBLICHE SCHUTZRECHTE,0,,,1,1,0,,0,1,0,0,0,2,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0020,0020,0,,,NULL,0,,0,,,,0,,0,1,,,02F6B66A-6EDE-4CA6-A5C6-E26AB8D02168
0x000000000004C8C0,0025,Ähnliche Rechte und Werte,ÄHNLICHE RECHTE UND WERTE,0,,,1,1,0,,0,1,0,0,0,2,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0025,0025,0,,,NULL,0,,0,,,,0,,0,1,,,C0A4C54C-FBEA-4E79-B1ED-EEA6E6BF33FE
0x000000000004C8C2,0027,EDV-Software,EDV-SOFTWARE,0,,,1,1,0,,0,1,0,0,0,2,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0027,0027,0,,,NULL,0,,0,,,,0,,0,1,,,8BC7644B-ED46-4E43-A7E1-704D4497D6DD
0x000000000004C8C5,0030,Lizenzen an gew. Schutzrechten,LIZENZEN AN GEW. SCHUTZRECHTEN,0,,,1,1,0,,0,1,0,0,0,2,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0030,0030,0,,,NULL,0,,0,,,,0,,0,1,,,DFDB2875-07C6-42BB-8D96-A36FEBC90082
0x000000000004C8C7,0031,Summe Konzess. u. Schutzrechte,SUMME KONZESS. U. SCHUTZRECHTE,4,,,1,1,0,,0,0,0,0,0,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,0010..0031,0,0031,0031,0,,,NULL,0,,0,,,,0,,0,1,,,BEB8C72D-589A-414B-9F53-517EBF82E800
0x000000000004C8C9,0035,Geschäfts- oder Firmenwert,GESCHÄFTS- ODER FIRMENWERT,0,,,1,1,0,,0,1,0,0,0,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0035,0035,0,,,NULL,0,,0,,,,0,,0,1,,,E4B0C599-82E1-4394-B0CB-05A389E9EBA2
0x000000000004C8CB,0038,Anz. Geschäfts- oder Firmenw.,ANZ. GESCHÄFTS- ODER FIRMENW.,0,,,1,1,0,,0,1,0,0,0,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,,0,0038,0038,0,,,NULL,0,,0,,,,0,,0,1,,,C1B1E4BE-708A-43B8-AE82-9D89F0ACEAA2
