Sales_Rep,Date,Region,Customer,Activity_Type,Product
Rep_16,2025-04-05,Italy,Customer_83,Visit,Product_9
Rep_4,2024-10-09,Italy,Customer_63,Phone Call,Product_20
Rep_4,2025-03-03,Italy,Customer_149,Visit,Product_7
Rep_8,2025-04-23,France,Customer_426,Email,Product_17
Rep_7,2024-10-23,Italy,Customer_160,Phone Call,Product_26
Rep_7,2024-05-28,Spain,Customer_30,Email,Product_47
Rep_7,2024-08-21,Germany,Customer_70,Phone Call,Product_5
Rep_11,2024-11-27,Germany,Customer_290,Visit,Product_13
Rep_8,2024-11-17,France,Customer_2,Phone Call,Product_47
Rep_9,2024-10-17,France,Customer_421,Phone Call,Product_42
Rep_3,2025-05-04,France,Customer_89,Email,Product_46
Rep_4,2025-03-13,Italy,Customer_430,Email,Product_43
Rep_15,2025-03-31,Italy,Customer_268,Phone Call,Product_32
Rep_19,2024-09-07,Spain,Customer_495,Phone Call,Product_3
Rep_9,2024-11-14,France,Customer_58,Email,Product_46
Rep_20,2024-09-29,France,Customer_210,Phone Call,Product_18
Rep_1,2024-12-25,Germany,Customer_432,Email,Product_23
Rep_16,2025-04-24,Germany,Customer_229,Phone Call,Product_13
Rep_19,2025-04-30,Italy,Customer_200,Visit,Product_8
Rep_15,2024-08-05,France,Customer_183,Phone Call,Product_50
Rep_2,2024-11-25,France,Customer_12,Phone Call,Product_27
Rep_19,2024-07-06,France,Customer_270,Phone Call,Product_12
Rep_18,2024-08-30,Italy,Customer_207,Email,Product_19
Rep_5,2024-07-06,France,Customer_103,Visit,Product_32
Rep_7,2025-03-02,Italy,Customer_70,Phone Call,Product_9
Rep_15,2024-06-18,Spain,Customer_417,Email,Product_34
Rep_9,2025-01-08,Spain,Customer_1,Visit,Product_48
Rep_2,2025-03-19,France,Customer_59,Email,Product_2
Rep_16,2024-08-18,Spain,Customer_104,Visit,Product_13
Rep_7,2025-05-01,Italy,Customer_77,Visit,Product_26
Rep_14,2024-12-05,Italy,Customer_236,Email,Product_35
Rep_8,2025-02-10,Spain,Customer_182,Visit,Product_9
Rep_9,2025-03-23,Italy,Customer_27,Visit,Product_31
Rep_16,2025-01-01,Spain,Customer_204,Phone Call,Product_50
Rep_9,2025-04-28,Spain,Customer_484,Phone Call,Product_20
Rep_10,2024-07-09,Spain,Customer_373,Email,Product_10
Rep_1,2024-09-10,Spain,Customer_300,Phone Call,Product_45
Rep_7,2024-06-20,Italy,Customer_6,Email,Product_43
Rep_20,2025-02-20,Spain,Customer_125,Phone Call,Product_11
Rep_19,2024-06-10,Italy,Customer_200,Phone Call,Product_4
Rep_20,2025-04-27,Italy,Customer_464,Phone Call,Product_3
Rep_19,2025-04-08,Germany,Customer_367,Email,Product_14
Rep_14,2025-02-02,Spain,Customer_367,Visit,Product_31
Rep_16,2024-09-18,Germany,Customer_474,Phone Call,Product_45
Rep_1,2024-11-12,France,Customer_220,Phone Call,Product_29
Rep_14,2024-12-16,Spain,Customer_299,Email,Product_6
Rep_7,2024-06-21,Germany,Customer_99,Phone Call,Product_1
Rep_6,2024-09-27,Spain,Customer_64,Visit,Product_13
Rep_19,2024-10-28,Italy,Customer_130,Email,Product_45
Rep_12,2024-09-12,France,Customer_352,Email,Product_32
Rep_17,2025-01-05,Germany,Customer_375,Phone Call,Product_50
Rep_7,2025-01-16,Italy,Customer_445,Email,Product_33
Rep_2,2025-05-02,Germany,Customer_321,Phone Call,Product_9
Rep_5,2024-07-31,Italy,Customer_382,Visit,Product_41
Rep_1,2024-12-13,France,Customer_369,Visit,Product_7
Rep_8,2024-11-14,Italy,Customer_254,Visit,Product_11
Rep_14,2024-10-31,Germany,Customer_356,Email,Product_21
Rep_3,2025-04-14,Germany,Customer_65,Phone Call,Product_36
Rep_14,2024-12-01,Spain,Customer_102,Phone Call,Product_21
Rep_12,2024-08-22,Italy,Customer_121,Phone Call,Product_11
Rep_12,2024-06-06,France,Customer_150,Visit,Product_28
Rep_4,2025-03-21,Germany,Customer_149,Phone Call,Product_19
Rep_15,2025-05-04,Italy,Customer_20,Email,Product_42
Rep_1,2024-12-12,Germany,Customer_480,Visit,Product_31
Rep_7,2025-05-03,Italy,Customer_104,Visit,Product_30
Rep_20,2024-05-18,Italy,Customer_393,Email,Product_9
Rep_9,2024-06-18,Germany,Customer_256,Email,Product_11
Rep_6,2025-02-16,France,Customer_447,Email,Product_39
Rep_15,2025-04-04,Germany,Customer_281,Email,Product_10
Rep_4,2024-10-14,Spain,Customer_181,Email,Product_28
Rep_9,2025-02-12,Italy,Customer_256,Visit,Product_17
Rep_4,2025-03-29,France,Customer_181,Phone Call,Product_3
Rep_19,2025-03-13,France,Customer_439,Phone Call,Product_49
Rep_11,2025-01-27,Germany,Customer_277,Visit,Product_7
Rep_9,2025-01-10,Germany,Customer_286,Phone Call,Product_27
Rep_7,2024-05-13,France,Customer_34,Phone Call,Product_12
Rep_10,2025-01-05,Germany,Customer_16,Email,Product_22
Rep_17,2024-11-20,Italy,Customer_92,Email,Product_11
Rep_8,2025-03-30,France,Customer_269,Email,Product_3
Rep_3,2025-04-14,Germany,Customer_460,Visit,Product_42
Rep_9,2024-09-19,Germany,Customer_223,Email,Product_43
Rep_5,2024-08-15,Italy,Customer_217,Phone Call,Product_24
Rep_13,2025-02-20,France,Customer_384,Visit,Product_44
Rep_14,2024-09-16,Spain,Customer_243,Visit,Product_11
Rep_3,2025-02-10,Italy,Customer_89,Email,Product_22
Rep_4,2025-04-16,Spain,Customer_202,Visit,Product_38
Rep_14,2024-06-06,France,Customer_76,Visit,Product_47
Rep_3,2024-07-26,Italy,Customer_158,Email,Product_3
Rep_8,2025-05-04,Italy,Customer_10,Phone Call,Product_9
Rep_3,2024-12-19,France,Customer_260,Phone Call,Product_10
Rep_20,2024-08-07,Italy,Customer_28,Visit,Product_28
Rep_4,2024-08-13,Italy,Customer_59,Phone Call,Product_2
Rep_1,2025-03-20,Italy,Customer_407,Email,Product_26
Rep_7,2024-07-07,France,Customer_69,Phone Call,Product_1
Rep_16,2025-03-20,Germany,Customer_429,Visit,Product_32
Rep_7,2024-12-09,Italy,Customer_261,Visit,Product_26
Rep_11,2024-11-02,Germany,Customer_46,Email,Product_24
Rep_3,2024-06-17,Spain,Customer_440,Phone Call,Product_33
Rep_8,2024-06-13,France,Customer_428,Phone Call,Product_10
Rep_1,2024-09-14,Germany,Customer_423,Visit,Product_27
Rep_4,2025-04-17,Italy,Customer_126,Phone Call,Product_36
Rep_20,2024-11-26,Germany,Customer_282,Phone Call,Product_25
Rep_20,2025-05-10,Spain,Customer_274,Email,Product_22
Rep_12,2024-11-19,France,Customer_86,Visit,Product_11
Rep_17,2024-06-24,Germany,Customer_144,Visit,Product_31
Rep_9,2024-09-07,Spain,Customer_135,Email,Product_34
Rep_13,2024-12-13,Italy,Customer_329,Email,Product_30
Rep_9,2024-09-03,Spain,Customer_127,Visit,Product_10
Rep_9,2025-02-11,Germany,Customer_480,Visit,Product_26
Rep_3,2024-06-30,France,Customer_19,Email,Product_1
Rep_5,2024-12-11,Italy,Customer_162,Email,Product_18
Rep_16,2024-09-19,Italy,Customer_332,Visit,Product_18
Rep_4,2025-03-25,Italy,Customer_326,Email,Product_27
Rep_7,2025-05-06,Germany,Customer_425,Visit,Product_13
Rep_13,2024-12-08,France,Customer_215,Visit,Product_2
Rep_18,2024-07-30,Italy,Customer_54,Email,Product_44
Rep_6,2025-03-19,Germany,Customer_84,Visit,Product_37
Rep_20,2025-01-02,Italy,Customer_35,Email,Product_22
Rep_17,2024-12-11,Spain,Customer_422,Phone Call,Product_7
Rep_20,2024-12-27,Italy,Customer_464,Email,Product_42
Rep_7,2024-09-01,France,Customer_78,Visit,Product_49
Rep_5,2024-11-01,Germany,Customer_431,Email,Product_34
Rep_7,2024-06-17,Italy,Customer_328,Email,Product_31
Rep_6,2024-12-30,Italy,Customer_342,Phone Call,Product_26
Rep_11,2025-03-18,Germany,Customer_242,Email,Product_2
Rep_17,2024-10-09,Italy,Customer_100,Phone Call,Product_23
Rep_1,2024-09-13,Germany,Customer_318,Phone Call,Product_41
Rep_7,2024-12-22,France,Customer_104,Phone Call,Product_14
Rep_11,2024-08-15,Spain,Customer_390,Visit,Product_7
Rep_17,2024-09-02,France,Customer_95,Email,Product_34
Rep_5,2024-07-23,Spain,Customer_325,Email,Product_38
Rep_9,2024-07-25,Spain,Customer_461,Phone Call,Product_28
Rep_1,2025-03-28,Italy,Customer_300,Visit,Product_48
Rep_19,2024-07-24,Italy,Customer_433,Visit,Product_12
